"","id","deviceid","latitude","longitude","addr1","addr2","addr3","addr4"
"1",3,"5676bbe33a8c6da6",37.3725896,127.2509782,"대한민국","경기도","광주시","오포읍"
"2",7,"b4cbed9ee1d76963",35.8788055,128.5659513,NA,NA,NA,NA
"3",8,"42373b9e3dec967e",37.4911875,126.9691767,"대한민국","서울특별시","동작구","사당로23아길"
"4",9,"c56a35ef5a3f4d87",37.5310597,126.6508617,"대한민국","인천광역시","서구","청라동"
"5",10,"bcca21cad93e138c",35.6896549,128.4678656,"대한민국","대구광역시","달성군","유가면"
"6",12,"b1d89c4504b268c0",35.8545281,128.6543358,"대한민국","대구광역시","수성구","만촌3동"
"7",19,"72016fd38b632ede",35.2147128,129.0124087,"대한민국","부산광역시","북구","만덕대로77번길"
"8",21,"87ff5af06d6a27a1",36.9888707,127.1390928,"대한민국","경기도","안성시","공도읍"
"9",25,"9a690077d910274d",36.1948565,127.7869893,"대한민국","충청북도","영동군","영동읍"
"10",38,"d0f093ce25604734",36.6208126,127.4497986,NA,NA,NA,NA
"11",42,"b9475fce9ba7ebe5",37.1979716,126.8173927,NA,NA,NA,NA
"12",43,"324f6e6b2cc379bf",37.3728669,126.9360938,NA,NA,NA,NA
"13",57,"80d2ed8a226d5cda",37.4351489,127.1407057,NA,NA,NA,NA
"14",60,"36025805974d0b0e",36.9948963,126.8357833,NA,NA,NA,NA
"15",68,"194d624af4948e58",37.5440245,127.1026115,NA,NA,NA,NA
"16",70,"c2d34b9fcfac9ead",35.8320471,127.1684845,NA,NA,NA,NA
"17",75,"8386f5c2a5120b7",35.1503248,128.6965421,NA,NA,NA,NA
"18",76,"7eb45d488732ef29",37.7100471,127.1998647,"대한민국","경기도","남양주시","오남읍"
"19",79,"acde855b186ab913",36.6572444,127.4667641,"대한민국","충청북도","청주시","흥덕구"
"20",82,"2a2ea72eefa8db22",36.6365957188379,127.427198554762,"대한민국","충청북도","청주시","흥덕구"
"21",86,"3d57dad18b0fccc3",35.834399,127.1036584,"","","",""
"22",87,"4b94f3f8bc7c1046",35.6321549,129.3490336,"대한민국","울산광역시","북구","신천동"
"23",88,"b83e03ce27f2f7d7",37.6401596,127.0239518,NA,NA,NA,NA
"24",89,"f232c15c17bad8a9",35.0990238,128.8072659,"대한민국","경상남도","창원시","진해구"
"25",90,"83c7a6ee49674c40",36.7172027,127.4185068,NA,NA,NA,NA
"26",104,"997a456d7afd6113",36.8111831,127.131928,NA,NA,NA,NA
"27",106,"844a9623e92c0fc2",37.2003243,126.9902673,NA,NA,NA,NA
"28",109,"e455c6bcf289db0d",35.1349894,129.0574471,NA,NA,NA,NA
"29",117,"35dd0cdf430012f8",37.5541274,127.1846775,NA,NA,NA,NA
"30",118,"c0d360e8c95400d7",35.6422187,128.742288,NA,NA,NA,NA
"31",122,"ade3cc33f8d8c3fc",37.7585435,127.0342471,"대한민국","경기도","의정부시","녹양동"
"32",124,"24500cd346898af0",36.7730642,126.9982866,NA,NA,NA,NA
"33",126,"3504285eacb493f2",35.2143323,128.6942268,NA,NA,NA,NA
"34",128,"97ebc6f76223e9dd",37.8899683,127.06356,NA,NA,NA,NA
"35",133,"83bf6c37e904e397",37.6432007,127.0127732,"대한민국","서울특별시","강북구","인수동"
"36",134,"be5c1af8748b0e30",35.1554295,128.7005344,NA,NA,NA,NA
"37",137,"313424db4ee31721",37.3391934,126.8159009,"대한민국","경기도","안산시","단원구"
"38",140,"5820156d7cc9b193",37.6171389,126.9048596,NA,NA,NA,NA
"39",143,"7a9624e07f88ee8c",37.5281762,126.8219573,"대한민국","경기도","부천시","오정구"
"40",146,"9f74df67218cb7d7",37.5049985,127.0147474,NA,NA,NA,NA
"41",147,"9e46bcfd14da2127",37.3580099,126.9700922,NA,NA,NA,NA
"42",149,"103fa32cfba5e26c",36.64366752,127.47400758,NA,NA,NA,NA
"43",155,"e8b24fc025ee3e31",35.2045741,129.117396,NA,NA,NA,NA
"44",160,"12accfdb1900670c",35.2302907,128.6735158,"대한민국","경상남도","창원시","성산구"
"45",161,"96bc759fb9fb01ae",37.5625129,126.9397061,"","","",""
"46",166,"50ac67f4e8ba85f7",36.7730462,126.4400001,NA,NA,NA,NA
"47",185,"b71863c7bd326823",35.9815816,126.6777305,"대한민국","전라북도","군산시","해망로"
"48",195,"e91ef7989117c970",37.4522343,126.8886183,NA,NA,NA,NA
"49",196,"8f0d92c0397f51af",37.6929025,126.8656429,NA,NA,NA,NA
"50",197,"492fa5770b90dc3e",35.645297,129.3460958,NA,NA,NA,NA
"51",201,"2654502c9554039b",34.9732252,127.609509,NA,NA,NA,NA
"52",202,"8e4c4cc10a6332d",36.3030579,127.3499187,NA,NA,NA,NA
"53",205,"62cd59693bee012f",35.2343894,128.8813721,NA,NA,NA,NA
"54",206,"a88f304185cf9ca5",37.4836828,126.8188153,NA,NA,NA,NA
"55",209,"71f8b4bfb30b6dec",37.17489676,127.0441147,NA,NA,NA,NA
"56",221,"cf176a100eedcf8d",36.5724229,128.7207112,NA,NA,NA,NA
"57",225,"fd27e4701b6dd387",35.79550112,127.08777425,NA,NA,NA,NA
"58",226,"34680a46af4a7e69",37.5716117,126.9730807,NA,NA,NA,NA
"59",227,"62bb22a6c701b505",35.1484634,126.8407122,"대한민국","광주광역시","서구","치평동"
"60",234,"7b05bdfb2c614523",35.1632626,129.1745613,NA,NA,NA,NA
"61",235,"7d0bf95b96f7ad86",37.6675939,127.0318567,"대한민국","서울특별시","도봉구","방학2동"
"62",237,"22785712254c35e0",35.3225045,128.5823254,NA,NA,NA,NA
"63",238,"56691372edc70322",35.1578327,129.0391742,NA,NA,NA,NA
"64",247,"c204f252c719ca8b",37.2476984,127.0652175,NA,NA,NA,NA
"65",256,"fab9e1c60e551fa1",36.0109799,128.0027836,NA,NA,NA,NA
"66",260,"a317e3374eab3af7",35.2383594,128.8574972,NA,NA,NA,NA
"67",263,"cefde74c0fdbda48",34.8265522,128.4182033,NA,NA,NA,NA
"68",264,"10ab9d2e0e16038",37.4837032,127.0820268,NA,NA,NA,NA
"69",267,"eaf356ea88484617",35.1028215,128.9699068,NA,NA,NA,NA
"70",269,"b506dcdd043d758e",37.4086133,126.7124025,"대한민국","인천광역시","남동구","논현2동"
"71",270,"d422c723aa141e27",37.7591326,127.0378933,NA,NA,NA,NA
"72",271,"5ed5bcdca0cacfe4",35.247264,128.8770301,NA,NA,NA,NA
"73",274,"647aaed0a68d369f",37.4367061,129.1468939,NA,NA,NA,NA
"74",281,"b21727454102b4f2",37.3139052413685,126.825798077405,NA,NA,NA,NA
"75",284,"887999c01854215b",36.8812844,126.758021,NA,NA,NA,NA
"76",288,"f16b0c9984fbf498",37.5470761,127.132675,"대한민국","서울특별시","강동구","천호2동"
"77",290,"26a845ff0d5b73bc",37.1547581,127.0804029,"대한민국","경기도","오산시","운천로"
"78",292,"149b91bc8156c4e9",37.4899688,126.8779866,NA,NA,NA,NA
"79",294,"aeccad5e90afd80f",35.914206,128.232761,NA,NA,NA,NA
"80",297,"240de4577cba73bc",38.1647059,128.5381291,NA,NA,NA,NA
"81",298,"75a156ee2b24e5ce",37.5208848,127.0475518,NA,NA,NA,NA
"82",300,"c1a573c395beca47",37.6023483,127.0866688,NA,NA,NA,NA
"83",307,"d6fcfe718e5f223b",36.3934961,128.1507057,NA,NA,NA,NA
"84",315,"6e1b8ba5d681fa6d",37.5702301,126.8484292,NA,NA,NA,NA
"85",320,"163019f9887343bd",37.5525484,126.8729125,"대한민국","서울특별시","강서구","염창동"
"86",321,"920db668dbd9f9cf",37.4981118,126.9510435,"대한민국","서울특별시","동작구","상도1동"
"87",322,"a0e2608fa7a66957",37.3330927,127.120151,NA,NA,NA,NA
"88",327,"13f9b77f30395c10",35.8447283,128.5693863,NA,NA,NA,NA
"89",339,"6c14c5466371dcdd",37.2536998,127.0278685,NA,NA,NA,NA
"90",344,"d7ed05879b96d78a",37.3716082,126.9381247,NA,NA,NA,NA
"91",361,"d660ff8aa534ca64",37.4894486,126.8941074,NA,NA,NA,NA
"92",364,"15274d275fad8da1",35.9030297,128.5144797,NA,NA,NA,NA
"93",368,"9084734502917f86",36.7337469,127.4487662,NA,NA,NA,NA
"94",371,"51b9d12ebf1893ac",35.983914,127.1176686,NA,NA,NA,NA
"95",373,"54c2abe146d68e88",34.7714562,127.6495299,NA,NA,NA,NA
"96",374,"3443d8e2cd08b25e",35.2268728,128.5755264,NA,NA,NA,NA
