"","X_id","dzNum","latitude","longitude","bigLat","bigLon"
"335",86444,6,35.1380189,128.7094289,"35.1","128.7"
"403",84894,6,37.3755893,126.9724925,"37.4","127"
"579",84712,1,36.7747939,127.137041,"36.8","127.1"
"855",84932,0,35.0757752,128.9820096,"35.1","129"
"1054",85435,14,36.0190178,129.3434808,"36","129.3"
"1115",84882,11,36.31534,127.4537,"36.3","127.5"
"1145",86077,14,36.8389035,127.1222813,"36.8","127.1"
"1173",85039,5,36.8463441,127.4574265,"36.8","127.5"
"1188",85186,5,35.6379568,129.4356821,"35.6","129.4"
"1252",84996,1,37.5366708,126.745627,"37.5","126.7"
"1334",85297,22,37.6639643,126.7544675,"37.7","126.8"
"1516",84903,5,37.84997,127.7367,"37.8","127.7"
"1624",84848,5,37.5491,127.0669,"37.5","127.1"
"1714",84911,5,37.62955,126.8244,"37.6","126.8"
"1750",85962,4,37.4092047,126.7345959,"37.4","126.7"
"1882",85280,2,37.46447,126.8675,"37.5","126.9"
"1902",85111,5,36.47465,127.1326,"36.5","127.1"
"2054",84856,6,35.82243,128.7533,"35.8","128.8"
"2230",85110,4,37.24135,127.0761,"37.2","127.1"
"2305",85299,6,37.56965,126.972,"37.6","127"
"2580",85018,6,37.50755,126.7648,"37.5","126.8"
"2588",84897,21,33.47702,126.4813,"33.5","126.5"
"2960",85152,8,36.1160817,128.1877979,"36.1","128.2"
"2967",84877,5,37.4735705,126.8016449,"37.5","126.8"
"3035",85322,6,36.1191915,128.185482,"36.1","128.2"
"3066",85074,2,37.5163872,126.7244897,"37.5","126.7"
"3071",85344,4,37.3294984,127.1152651,"37.3","127.1"
"3137",85239,22,37.4823288,126.6198097,"37.5","126.6"
"76",86023,5,34.87991,128.4137,"34.9","128.4"
"84",85900,14,36.07943,128.413,"36.1","128.4"
"325",85765,6,35.5443677,129.3521129,"35.5","129.4"
"438",85618,18,37.482435,126.994571,"37.5","127"
"650",85500,5,37.28055,127.1508,"37.3","127.2"
"661",85860,21,37.8315403,127.5098827,"37.8","127.5"
"723",85934,22,37.68999,126.7701,"37.7","126.8"
"964",85544,6,37.42864,126.6984,"37.4","126.7"
"1119",85364,21,35.17341,129.0902,"35.2","129.1"
"1146",86078,2,36.8389035,127.1222813,"36.8","127.1"
"1217",85784,6,36.3440023,126.5957863,"36.3","126.6"
"1321",86165,20,37.47761,127.131,"37.5","127.1"
"1355",85660,0,35.2136021,128.7063347,"35.2","128.7"
"1418",85591,6,37.0455912,127.1541242,"37","127.2"
"1702",85832,4,35.87153,128.6119,"35.9","128.6"
"1746",85963,0,37.4092047,126.7345959,"37.4","126.7"
"1759",85379,4,37.4818076,126.8568562,"37.5","126.9"
"2053",85905,1,35.82243,128.7533,"35.8","128.8"
